energy (eV),scatter (barn),capture (barn),total (barn)
4342600.0,1.342,0.0006763613,2.21051095
4352300.0,1.3221,0.0006899214,2.19028257
4361000.0,1.4582,0.0007020836,2.32608803
4370700.0,1.3545,0.0007156438,2.22205974
4395700.0,1.3554,0.0007505927,2.22211341
4425100.0,1.1542,0.0007916926,2.01991818
4456900.0,1.0253,0.0008361476,1.8899417
4486300.0,1.0088,0.0008772475,1.87244648
4500000.0,0.95681,0.0008963995,1.81999269
4530400.0,0.84261,0.0009727749,1.70350555
4535300.0,0.82398,0.0009850855,1.68470778
4570800.0,1.1661,0.0010742739,2.02561261
4583000.0,1.3052,0.0011049246,2.16429499
4594000.0,1.2854,0.0011325604,2.14411853
4600000.0,1.2352,0.0011476345,2.09371309
4602600.0,1.2135,0.0011541666,2.07189312
4624400.0,1.217,0.0012089358,2.07438713
4628300.0,1.2175,0.001218734,2.07479374
4640600.0,1.3651,0.0012496359,2.2220993
4668700.0,1.2589,0.0013202329,2.11522652
4698100.0,1.0227,0.001394096,1.87832261
4700000.0,1.0216,0.0013988695,1.87717709
4707900.0,1.0168,0.001418717,1.87247909
4722600.0,1.1148,0.0014556486,1.97066867
4750000.0,1.1245,0.001524487,1.98072214
4754400.0,1.126,0.0015513813,1.98229475
4777700.0,1.2383,0.001693799,2.09497918
4809500.0,1.2233,0.0018881717,2.0805039
4847800.0,1.158,0.0021222748,2.01583587
4854600.0,1.1464,0.0021638388,2.00432949
4858600.0,1.1395,0.0021882881,1.99760648
4861500.0,1.1343,0.0022060139,1.99265591
4883000.0,1.0968,0.0023374295,1.95614534
4952800.0,1.0561,0.0027640715,1.91865761
4971100.0,0.94561,0.0028759275,1.8090098
4979300.0,0.93258,0.0029260487,1.79635713
4980000.0,0.93133,0.0029303274,1.79519843
5000000.0,0.89784,0.0030525744,1.76431613
5002900.0,0.89302,0.0030719062,1.75980707
5016400.0,0.96097,0.0031618999,1.8292041
5056800.0,0.97394,0.0034312139,1.84650465
5074000.0,1.0617,0.0035458733,1.93610827
5104600.0,1.0208,0.0037498582,1.8984883
